,Survey,StartDate,EndDate,Progress,Duration,Finished,Courses,Consent1,Consent2,A1,A2,A3,A4,R1,Major,Year,Sex,VSD,NUPath,Philosophy,ID,course,course_name,crit_1,crit_2,crit_3,crit_4,crit_6,crit_7,crit_5,is_not_null
2,Pre-Module_Fl21_CS4100-1_Marsella,11/24/21 8:25,11/24/21 8:27,100,108,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,4,4,2,5,4,Computer Science and Mathematics,4,Male,No,PHIL 1145: Technology and Human Values,Yes,A143,cs4100,CS4100-1,True,True,True,True,True,True,True,True
8,Pre-Module_Fl21_CS4100-1_Marsella,11/26/21 10:28,11/26/21 10:31,100,174,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,3,4,3,5,5,CS,2,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A376,cs4100,CS4100-1,True,True,True,True,True,True,True,True
9,Pre-Module_Fl21_CS4100-1_Marsella,11/26/21 16:01,11/26/21 16:04,100,183,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,5,4,1,5,4,Computer Science,5+,Male,I'm not sure,PHIL 1145: Technology and Human Values,Yes,A209,cs4100,CS4100-1,True,True,True,True,True,True,True,True
11,Pre-Module_Fl21_CS4100-1_Marsella,11/27/21 11:10,11/27/21 11:12,100,132,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,3,5,2,5,2,Data science/neuroscience,4,Male,No,"None, or I'm not sure",Yes,A230,cs4100,CS4100-1,True,True,True,True,True,True,True,True
12,Pre-Module_Fl21_CS4100-1_Marsella,11/27/21 19:12,11/27/21 19:38,100,1530,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,4,4,2,3,5,Computer Science and Business Administration,4,Female,I'm not sure,PHIL 1145: Technology and Human Values,No,A320,cs4100,CS4100-1,True,True,True,True,True,True,True,True
15,Pre-Module_Fl21_CS4100-1_Marsella,11/28/21 11:43,11/28/21 11:45,100,137,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,2,5,1,5,2,Computer Science & Mathematics,4,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A247,cs4100,CS4100-1,True,True,True,True,True,True,True,True
16,Pre-Module_Fl21_CS4100-1_Marsella,11/28/21 16:46,11/28/21 16:49,100,152,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,3,5,1,5,1,Computer Science,5+,Male,No,PHIL 1145: Technology and Human Values,No,A338,cs4100,CS4100-1,True,True,True,True,True,True,True,True
18,Pre-Module_Fl21_CS4100-1_Marsella,11/28/21 18:13,11/28/21 18:16,100,164,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,3,4,2,5,5,computer science,2,Male,I'm not sure,IS 1300/PHIL 1300: Knowledge in a Digital World,No,A191,cs4100,CS4100-1,True,True,True,True,True,True,True,True
24,Pre-Module_Fl21_CS4100-1_Marsella,11/28/21 22:22,11/28/21 22:24,100,91,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,3,5,1,5,3,"Computer Engineering, Computer Science",4,Male,No,"None, or I'm not sure",No,A321,cs4100,CS4100-1,True,True,True,True,True,True,True,True
26,Pre-Module_Fl21_CS4100-1_Marsella,11/29/21 9:02,11/29/21 9:04,100,107,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,5,5,1,5,1,CS,5+,Female,Yes,PHIL 1145: Technology and Human Values,No,A218,cs4100,CS4100-1,True,True,True,True,True,True,True,True
29,Pre-Module_Fl21_CS4100-1_Marsella,11/29/21 11:04,11/29/21 11:07,100,138,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,3,5,2,5,5,Computer Science,5+,Male,Yes,PHIL 1145: Technology and Human Values,Yes,A294,cs4100,CS4100-1,True,True,True,True,True,True,True,True
30,Pre-Module_Fl21_CS4100-1_Marsella,11/29/21 11:40,11/29/21 11:44,100,181,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,4,5,3,5,1,Computer Science,4,Female,Yes,PHIL 1145: Technology and Human Values,No,A190,cs4100,CS4100-1,True,True,True,True,True,True,True,True
31,Pre-Module_Fl21_CS4100-1_Marsella,11/29/21 11:54,11/29/21 11:57,100,183,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,4,3,3,3,5,Computer Science,4,Male,No,PHIL 1145: Technology and Human Values,No,A101,cs4100,CS4100-1,True,True,True,True,True,True,True,True
32,Pre-Module_Fl21_CS4100-1_Marsella,11/29/21 13:49,11/29/21 13:52,100,177,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,3,4,1,5,2,Computer Science,5+,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A343,cs4100,CS4100-1,True,True,True,True,True,True,True,True
37,Pre-Module_Fl21_CS4100-1_Marsella,11/29/21 14:49,11/29/21 14:50,100,77,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,4,4,4,4,5,Computer Science,5+,Male,No,PHIL 1145: Technology and Human Values,Yes,A39,cs4100,CS4100-1,True,True,True,True,True,True,True,True
38,Pre-Module_Fl21_CS4100-1_Marsella,11/29/21 14:51,11/29/21 14:54,100,167,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,5,5,1,4,5,Computer Engineering and Computer Science,4,Male,No,"None, or I'm not sure",No,A38,cs4100,CS4100-1,True,True,True,True,True,True,True,True
39,Pre-Module_Fl21_CS4100-1_Marsella,11/29/21 14:51,11/29/21 14:54,100,192,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,4,5,1,5,1,Computer Science and Computer Engineering,5+,Male,I'm not sure,"None, or I'm not sure",No,A302,cs4100,CS4100-1,True,True,True,True,True,True,True,True
41,Pre-Module_Fl21_CS4100-1_Marsella,11/29/21 14:51,11/29/21 14:55,100,208,TRUE,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,4,5,2,5,4,Computer science/biology,4,Male,No,PHIL 1145: Technology and Human Values,No,A108,cs4100,CS4100-1,True,True,True,True,True,True,True,True
42,Pre-Module_Fl21_CS4100-2_Wong,10/26/21 23:04,10/26/21 23:08,100,227,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,4,2,4,5,CECS,4,Male,I'm not sure,"None, or I'm not sure",Yes,A222,cs4100,CS4100-2,True,True,True,True,True,True,True,True
43,Pre-Module_Fl21_CS4100-2_Wong,10/26/21 23:05,10/26/21 23:09,100,222,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,5,2,4,5,Computer Science & Cognitive Psychology,3,Female,Yes,"None, or I'm not sure",No,A369,cs4100,CS4100-2,True,True,True,True,True,True,True,True
44,Pre-Module_Fl21_CS4100-2_Wong,10/26/21 23:06,10/26/21 23:09,100,152,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,5,1,5,4,Computer Science,3,Male,Yes,"INSH 2102: Bostonography: The City through Data, Texts, Maps, and Networks",No,A293,cs4100,CS4100-2,True,True,True,True,True,True,True,True
46,Pre-Module_Fl21_CS4100-2_Wong,10/26/21 23:49,10/26/21 23:50,100,94,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,5,1,4,4,Computer Engineering & Computer Science,4,Male,Yes,"None, or I'm not sure",No,A344,cs4100,CS4100-2,True,True,True,True,True,True,True,True
49,Pre-Module_Fl21_CS4100-2_Wong,10/27/21 0:43,10/27/21 0:44,100,81,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,4,4,5,5,Computer Science,2,Male,No,SOCL 4528: Computers and Society,No,A325,cs4100,CS4100-2,True,True,True,True,True,True,True,True
50,Pre-Module_Fl21_CS4100-2_Wong,10/27/21 1:00,10/27/21 1:03,100,206,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,5,1,5,4,Computer Science and Mathematics,4,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A413,cs4100,CS4100-2,True,True,True,True,True,True,True,True
52,Pre-Module_Fl21_CS4100-2_Wong,10/27/21 10:59,10/27/21 11:01,100,120,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,3,2,5,5,Computer Science and Cognitive Psychology,5+,Female,No,PHIL 1145: Technology and Human Values,No,A327,cs4100,CS4100-2,True,True,True,True,True,True,True,True
53,Pre-Module_Fl21_CS4100-2_Wong,10/27/21 11:10,10/27/21 11:14,100,240,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,5,1,5,2,1,3,Male,No,"None, or I'm not sure",No,A336,cs4100,CS4100-2,True,True,True,True,True,True,True,True
55,Pre-Module_Fl21_CS4100-2_Wong,10/27/21 12:52,10/27/21 12:55,100,189,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,3,2,4,1,Finance,4,Male,No,"None, or I'm not sure",No,A213,cs4100,CS4100-2,True,True,True,True,True,True,True,True
56,Pre-Module_Fl21_CS4100-2_Wong,10/27/21 13:28,10/27/21 13:30,100,87,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,4,2,4,2,Computer Science ,2,Male,No,PHIL 1145: Technology and Human Values,No,A73,cs4100,CS4100-2,True,True,True,True,True,True,True,True
57,Pre-Module_Fl21_CS4100-2_Wong,10/27/21 15:19,10/27/21 15:22,100,141,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,4,3,4,2,Computer Science,2,Male,No,PHIL 1145: Technology and Human Values,No,A202,cs4100,CS4100-2,True,True,True,True,True,True,True,True
58,Pre-Module_Fl21_CS4100-2_Wong,10/27/21 15:46,10/27/21 15:50,100,184,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,5,2,5,5,Computer Science,2,Male,No,IS 1300/PHIL 1300: Knowledge in a Digital World,No,A358,cs4100,CS4100-2,True,True,True,True,True,True,True,True
59,Pre-Module_Fl21_CS4100-2_Wong,10/27/21 16:36,10/27/21 16:38,100,130,TRUE,"CS4100 Artificial Intelligence (Lawson Wong),CS4550 Web Development (Jose Annunziato)",Yes,,4,2,4,1,4,Computer Sceince,2,Male,I'm not sure,PHIL 1145: Technology and Human Values,Yes,A53,cs4100,CS4100-2,True,True,True,True,True,True,True,True
