,ID,Survey,StartDate,EndDate,Progress,Duration,Finished,Courses,Consent1,Consent2,A1,A2,A3,A4,R1,A5,A6,A7,A8,R2,Feedback,Major,Year,Sex,VSD,NUPath,Philosophy,Attendance,Time,course,course_name,crit_1,crit_2,crit_3,crit_4,crit_6,crit_7,crit_5,is_not_null
0,A39,Post-Module_Fl21_CS4100-1_Marsella,12/5/21 0:18,12/5/21 0:21,100,192,True,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,2,4,3,4,5,5,5,4,3,2,,Computer Science,2,Male,No,PHIL 1145: Technology and Human Values,No,2,Less than 30 minutes,cs4100,CS4100-1,True,True,True,True,True,True,True,True
1,A68,Post-Module_Fl21_CS4100-1_Marsella,12/2/21 17:34,12/2/21 17:37,100,166,True,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,5,5,1,5,2,4,5,4,4,3,,Computer Science,5+,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,2,Less than 30 minutes,cs4100,CS4100-1,True,True,True,True,True,True,True,True
2,A315,Post-Module_Fl21_CS4100-1_Marsella,12/2/21 15:01,12/2/21 15:04,100,174,True,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,5,5,1,5,1,4,4,4,3,2,,Ce cs,5+,Male,I'm not sure,"None, or I'm not sure",No,1,Less than 30 minutes,cs4100,CS4100-1,True,True,True,True,True,True,True,True
3,A30,Post-Module_Fl21_CS4100-2_Wong,12/9/21 15:28,12/9/21 15:32,100,217,True,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,5,1,5,4,5,5,5,4,1,,"Computer Science, Mathematics",4,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,1,30 minutes - 1 hour,cs4100,CS4100-2,True,True,True,True,True,True,True,True
4,A287,Post-Module_Fl21_CS4100-2_Wong,12/10/21 23:34,12/10/21 23:37,100,220,True,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,5,1,4,1,3,3,3,3,2,Not particularly. I think I would have found it very useful however I have already covered very similar content in another course (PHIL 1145 - Technology and Human Values) so I think I did not gain too much from the module despite finding it interesting nonetheless.,Computer Science,3,Male,Yes,PHIL 1145: Technology and Human Values,No,1,Less than 30 minutes,cs4100,CS4100-2,True,True,True,True,True,True,True,True
5,A402,Post-Module_Fl21_CS4100-2_Wong,12/10/21 19:51,12/10/21 19:55,100,215,True,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,5,2,5,4,5,5,5,5,5,More interactive activities,Computer Science,2,Male,No,PHIL 1145: Technology and Human Values,No,1,Less than 30 minutes,cs4100,CS4100-2,True,True,True,True,True,True,True,True
6,A268,Post-Module_Fl21_CS4100-2_Wong,12/10/21 20:23,12/10/21 20:26,100,156,True,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,5,1,5,2,5,5,5,5,3,"Not particularly, I thought it was very interesting and in-class discussions bolstered some of the takeaways for me",Computer Science/Music Technology,3,Male,I'm not sure,"None, or I'm not sure",No,2,30 minutes - 1 hour,cs4100,CS4100-2,True,True,True,True,True,True,True,True
7,A388,Post-Module_Fl21_CS4100-2_Wong,12/10/21 18:20,12/10/21 18:22,100,128,True,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,4,2,4,5,5,5,5,5,3,,Computer Engineering,4,Male,No,"None, or I'm not sure",No,2,1 -2 hours,cs4100,CS4100-2,True,True,True,True,True,True,True,True
8,A317,Post-Module_Fl21_CS4550_Annunziato,12/8/21 12:01,12/8/21 12:04,100,152,True,CS4550 Web Development (Jose Annunziato),Yes,,5,4,1,5,1,4,3,4,4,2,,"Computer Science, Interaction Design",3,Male,I'm not sure,"None, or I'm not sure",No,2,1 -2 hours,cs4550,CS4550-1,True,True,True,True,True,True,True,True
9,A427,Post-Module_Fl21_CS4550_Annunziato,12/8/21 10:56,12/8/21 10:59,100,178,True,CS4550 Web Development (Jose Annunziato),Yes,,4,5,1,5,2,5,5,5,4,3,,Computer Science and Business Administration,2,Male,Yes,PHIL 1145: Technology and Human Values,Yes,2,2 - 3 hours,cs4550,CS4550-1,True,True,True,True,True,True,True,True
10,A290,Post-Module_Fl21_CS4550_Annunziato,12/8/21 11:40,12/8/21 11:42,100,125,True,CS4550 Web Development (Jose Annunziato),Yes,,5,5,2,5,1,5,5,5,5,2,,Computer science,4,Female,No,PHIL 1145: Technology and Human Values,No,1,1 -2 hours,cs4550,CS4550-1,True,True,True,True,True,True,True,True
11,A415,Post-Module_Fl21_CS4550_Annunziato,12/9/21 10:09,12/9/21 10:12,100,195,True,CS4550 Web Development (Jose Annunziato),Yes,,4,4,1,4,5,3,4,4,3,1,,CS + Game Dev,3,Male,No,PHIL 1145: Technology and Human Values,No,2,30 minutes - 1 hour,cs4550,CS4550-1,True,True,True,True,True,True,True,True
12,A4,Post-Module_Fl21_CS4550_Annunziato,12/9/21 17:00,12/9/21 17:03,100,204,True,CS4550 Web Development (Jose Annunziato),Yes,,5,5,2,5,5,3,4,4,3,1,,Data Science,3,Male,No,"CY 5240: Cyberlaw: Privacy, Ethics, and Digital Rights",No,2,1 -2 hours,cs4550,CS4550-1,True,True,True,True,True,True,True,True
13,A322,Post-Module_Fl21_CS4550_Annunziato,12/8/21 10:03,12/8/21 10:10,100,384,True,CS4550 Web Development (Jose Annunziato),Yes,,4,4,1,5,5,4,4,3,2,2,,Computer Science,4,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,1,Less than 30 minutes,cs4550,CS4550-1,True,True,True,True,True,True,True,True
14,A54,Post-Module_Fl21_CS4550_Annunziato,12/8/21 12:52,12/8/21 12:57,100,293,True,CS4550 Web Development (Jose Annunziato),Yes,,5,5,1,5,1,4,4,4,4,3,,computer science,2,Female,No,"None, or I'm not sure",No,2,Less than 30 minutes,cs4550,CS4550-1,True,True,True,True,True,True,True,True
15,A424,Post-Module_Fl21_CY2550-3_Miazi_MR,10/19/21 10:06,10/19/21 10:10,100,218,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,1,5,1,4,4,4,4,1,,Computer Science,3,Male,No,PHIL 1145: Technology and Human Values,No,1,30 minutes - 1 hour,cy2550,CY2550-3,True,True,True,True,True,True,True,True
16,A261,Post-Module_Fl21_CY2550-1_Miazi_TR,10/14/21 19:09,10/14/21 19:11,100,128,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,2,5,5,5,5,5,5,4,,Computer Science & Math,4,Female,No,PHIL 1145: Technology and Human Values,No,1,Less than 30 minutes,cy2550,CY2550-1,True,True,True,True,True,True,True,True
