,Survey,StartDate,EndDate,Progress,Duration,Finished,Courses,Consent1,Consent2,A1,A2,A3,A4,R1,Major,Year,Sex,VSD,NUPath,Philosophy,ID,course,course_name,crit_1,crit_2,crit_3,crit_4,crit_6,crit_7,crit_5,is_not_null
0,Pre-Module_Fl21_CS4100-1_Marsella,11/26/21 10:28,11/26/21 10:31,100,174,True,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,3,4,3,5,5,CS,2,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A39,cs4100,CS4100-1,True,True,True,True,True,True,True,True
1,Pre-Module_Fl21_CS4100-1_Marsella,11/29/21 13:49,11/29/21 13:52,100,177,True,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,3,4,1,5,2,Computer Science,5+,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A68,cs4100,CS4100-1,True,True,True,True,True,True,True,True
2,Pre-Module_Fl21_CS4100-1_Marsella,11/29/21 14:51,11/29/21 14:54,100,192,True,CS4100 Artificial Intelligence (Stacy Marsella),Yes,,4,5,1,5,1,Computer Science and Computer Engineering,5+,Male,I'm not sure,"None, or I'm not sure",No,A315,cs4100,CS4100-1,True,True,True,True,True,True,True,True
3,Pre-Module_Fl21_CS4100-2_Wong,10/27/21 1:00,10/27/21 1:03,100,206,True,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,5,1,5,4,Computer Science and Mathematics,4,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A30,cs4100,CS4100-2,True,True,True,True,True,True,True,True
4,Pre-Module_Fl21_CS4100-2_Wong,10/28/21 23:25,10/28/21 23:29,100,196,True,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,4,1,4,4,Computer Science,3,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A287,cs4100,CS4100-2,True,True,True,True,True,True,True,True
5,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 10:46,10/29/21 10:48,100,101,True,CS4100 Artificial Intelligence (Lawson Wong),Yes,,2,4,4,4,2,Computer Science,2,Male,Yes,PHIL 1145: Technology and Human Values,No,A402,cs4100,CS4100-2,True,True,True,True,True,True,True,True
6,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 11:22,10/29/21 11:23,100,111,True,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,5,2,5,2,Computer Science/ Music Technology,3,Male,No,"None, or I'm not sure",No,A268,cs4100,CS4100-2,True,True,True,True,True,True,True,True
7,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 13:33,10/29/21 13:35,100,92,True,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,4,4,3,4,Computer Engineering,4,Male,No,"None, or I'm not sure",No,A388,cs4100,CS4100-2,True,True,True,True,True,True,True,True
8,Pre-Module_Fl21_CS4550_Annunziato,11/17/21 9:47,11/17/21 9:49,100,93,True,CS4550 Web Development (Jose Annunziato),Yes,,4,4,1,5,1,Computer Science and Interaction Design,3,Male,No,"None, or I'm not sure",No,A317,cs4550,CS4550-1,True,True,True,True,True,True,True,True
9,Pre-Module_Fl21_CS4550_Annunziato,11/17/21 10:37,11/17/21 10:39,100,142,True,CS4550 Web Development (Jose Annunziato),Yes,,4,5,2,4,4,Computer Science and Business Administration,2,Male,Yes,PHIL 1145: Technology and Human Values,Yes,A427,cs4550,CS4550-1,True,True,True,True,True,True,True,True
10,Pre-Module_Fl21_CS4550_Annunziato,11/17/21 11:35,11/17/21 11:37,100,105,True,CS4550 Web Development (Jose Annunziato),Yes,,3,5,4,5,1,Computer Science,4,Female,No,PHIL 1145: Technology and Human Values,No,A290,cs4550,CS4550-1,True,True,True,True,True,True,True,True
